Model,Ratio,Augmentation,Mean_Acc,Std_Acc
convnext,10,none,81.75666666666666,0.8963010406975711
convnext,10,basic,82.31666666666666,0.07408703590297683
convnext,10,strong,83.57333333333334,0.1677961726487115
convnext,100,none,89.91000000000001,0.061644140029692096
convnext,100,basic,89.37666666666667,0.01699673171197814
convnext,100,strong,89.85333333333334,0.1249888883950138
vit,10,none,75.40333333333332,1.212499713631123
vit,10,basic,85.19333333333334,0.22543784558548152
vit,10,strong,86.54333333333334,0.2666249967442795
vit,100,none,90.43333333333332,0.11085526098877577
vit,100,basic,91.00666666666666,0.04109609335312986
vit,100,strong,91.58333333333333,0.08730533902472819
